,description,work
780,"In Ah Pook Est La et Autres Contes. Paris: Christian Bourgois Éditeur, 1979. Softbound.  Translation by Philippe Mikriammos and Gérard-Georges Lemaire.  Includes Ah Pook Is Here, The Retreat Diaries, and Cobble Stone Gardens. Greek",D1
781,"Ah Pook Is Here. Athens: Eleutheros, 1983.  Translation by George Goutas. Italian",D2
782,"In È Arrivato Ah Pook; Il Libro della Respirazione; La Rivoluzione Elettronica.  (Tasco; 31) Milan: SugarCo Edizioni, 1980. Softbound.  Translation by Giulio Saponaro.  Ah Pook Is Here and Other Texts. Japanese",D3
783,"A Puku Izu Hia. Tokyo: Farao Kikaku, 1992.  Translation by Takaaki Iida.   . German  See Section A above.   Smile; Naked Scientology. German  See Section A above.  Blade Runner: A Movie. German",D4
784,"Blade Runner: ein Film. 1st German ed. (Literatheke; 2) Zürich: Eco-Verlag, 1980. Softbound.  Translation by Udo Breger.  The Book of Breeething. Dutch  See Section A above. French",D5
785,"Le Livre des Respirations. Grand Bretagne: Collection OU, 1980.  See also Section A above. German",D6
786,"Das Buch vom Aaatmen. (Mitfreude-Edition) Rheinberg: Zero Verlag, 1982. Softbound. Translation by Udo Breger. 93  Italian",D7
787,"In È Arrivato Ah Pook; Il Libro della Respirazione; La Rivoluzione Elettronica.  (Tasco; 31) Milan: SugarCo Edizioni, 1980. Softbound.  Translation by Giulio Saponaro.  The Cat Inside. Catalan",D8
788,"Gato Encerrado. Barcelona: El Aleph Editores, 2007. Softbound.  Translation by Bruno Menendez. German",D9
789,"The Cat Inside. 1st German ed. Berlin: Druckhaus Galrev, 1994. Softbound.  Translation by Esther and Udo Breger.  Limited to 500 copies. Spanish",D10
790,"El Gato por Dentro. Mexico City: Editorial Diana, 2000. Hardbound, issued without dustjacket.  Translation by Jose Ferez Kuri.  Cities of the Red Night. French",D11
791,"Les Cités de la Nuit Écarlate. (Collection les Derniers Mots) Paris: Christian Bourgois Éditeur, 1981. Softbound.  Translation by Philippe Mikriammos. German",D12
792,"In William S. Burroughs. Vol. 3. Edited and translated by Carl Weissner. 1st ed. Frankfurt: Zweitausendeins, 1982. Hardbound without dustjacket in slipcase.  Illustrated by S. Clay Wilson.",D13
793,"In William S. Burroughs. Vol. 2/3. Edited and translated by Carl Weissner. 1st ed. Frankfurt: Zweitausendeins, 1985. Softbound. Hungarian",D14
794,"A Vörös Éjszaka Városai. Budapest: József Attila Kör, 2001. Hardbound, issued without dustjacket.    Translation by Tornai Szabolcs.  Italian",D15
795,"Cittadella Notte Rossa. Introduction by Fernanda Pivano. Milan: Arcana Editrice, 1982. Softbound.   Translation by Giulio Saponaro. Portuguese",D16
796,"Cidades da Noite Vermelha. Lisbon: DIFEL, 1984. Softbound.   Translation by Maria Dulce Teles de Menezes and Salvato Teles de Menezes.  Spanish",D17
797,"Ciudades de la Noche Roja. (Narradores de Hoy; 50) Barcelona: Bruguera, 1981. Softbound.  Translation by Martín Lendínez.   Cobble Stone Gardens. French",D18
798,"In Ah Pook Est La et Autres Contes. Paris: Christian Bourgois Éditeur, 1979. Softbound.  Translation by Philippe Mikriammos and Gérard-Georges Lemaire.  Includes translations of Ah Pook Is Here, The Retreat Diaries, and Cobble Stone Gardens. 94",D19
799,"Cobble Stone Gardens. Paris: Christian Bourgois Éditeur, 1981. German",D20
