,description,work
1172,"Ambrose, Joe, Terry Wilson, and Frank Rynne. Man from Nowhere: Storming the Citadels of Enlightenment with William Burroughs and Brion Gysin. [Dublin, Ireland?]: Subliminal Books, 1992. Softbound (no hardbound issued). [See also Section G above.]",H1
1173,"Ansen, Alan. William Burroughs: An Essay. 1st ed. Sudbury, Mass.: Water Row Press, 1986. Hardbound, and softbound.  Softbound edition limited to 500 numbered copies; hardbound edition limited to 50 copies, numbered and signed by Burroughs and Ansen, issued without dustjacket.",H2
1174,"Baker, Phil. William S. Burroughs. (Critical Lives) London: Reaktion Books, 2010. Softbound.",H3
1175,"Beyer, Marcel, and Andreas Kramer, eds. William S. Burroughs. (Porträt; 4) Eggingen, Germany: Edition Isele, 1995. Softbound.",H4
1176,"Bockris, Victor. My Files on William Burroughs: Literary Soldier, Private Pilot. [New York: n.p.], 1979. Xerox sheets in plastic binder.  -five were distributed to friends and twenty-five were privately sold in order to Jacket",H5
1177,". With William Burroughs: A Report from the Bunker.  A. Con Burroughs: Conversazioni Inedite, 19741979. (Collana Situazioni; 44) Rome: Arcana Editrice, 1979. Softbound.  Italian translation by Alessandro Gebbia and Sergio Duichin.    True 1st ed. of, and published in expanded form as, With William Burroughs: A Report from the Bunker. B. With William Burroughs: A Report from the Bunker. 1st ed. New York: Seaver Books, 1981; distributed by Grove Press. Hardbound in dustjacket, and softbound. C. . Rev. ed. New York: ©1981. Softbound.",H6
1178,"Burroughs, William S. Burroughs Live: The Collected Interviews of William S. Burroughs, 19601997. Edited by Sylvère Lotringer. (Semiotext(e) Double Agents Series) Los Angeles: Semiotext(e), 2001; distributed by MIT Press. Softbound (no hardbound issued).",H7
1179,". Conversations with William S. Burroughs. Edited by Allen Hibbard. (Literary Conversations Series) Jackson, Miss.: University Press of Mississippi, 1999. Hardbound (issued without dustjacket), and softbound.",H8
1180,". The Job. A. Entretiens avec William Burroughs Paris: Éditions Pierre Belfond, 1969. Softbound (no hardbound issued). {M&M A15a}  True 1st ed.  B. The Job: Interviews with William S. Burroughs. By Daniel Odier. New York: Grove Press, 1970. Hardbound in dustjacket (no softbound issued). {M&M A16a}   Translation of Entretiens avec William Burroughs, rev. and enl. (including new introduction by Burroughs).  in Books and Bookmen and MayfairT.p. verso. [See Section C below] 144  C. The Job: Interview with William S. Burroughs. London: Jonathan Cape, 1970, ©1969. Hardbound in dustjacket (no softbound issued). {M&M A16b}  , except fo 36]  D. The Job: Interviews with William S. Burroughs. Press, 1974; distributed by Random House. Softbound (no hardbound issued).  Books and Bookmen and Mayfair [See Section C below].  onic Revolution 1970T.p. verso. E. Le Job: Entretiens avec Daniel Odier. Augmented and reviewed by Philippe Mikriammos. Preface by Gérard-1979. Softbound.  F. The Job: Topical Writings and Interviews. With Daniel Odier. (A Calderbook, CB 408) London: John Calder, 1984. Softbound. G. The Job: Interviews with William S. Burroughs. By Daniel Odier. [Rev. and enl. ed., including Penguin Books, 1989. Softbound (no hardbound issued).",H9
1181,". Last Words: The Final Journals of William S. Burroughs. Edited and with an introduction by James Grauerholz.  A. 1st ed. New York: Grove Press, 2000. Hardbound in dustjacket.  Dustjacket. B. London: Flamingo, 2000. Hardbound in dustjacket. C. 1st paperback ed. New York: Grove Press, 2001. Softbound. D. London: Flamingo, 2001. Softbound.",H10
1182,". The Letters of William S. Burroughs, 19451959. Edited and with an introduction by Oliver Harris.  A. New York: Viking Penguin, 1993. Hardbound in dustjacket. B. London: Picador, 1993. Hardbound in dustjacket. C. New York: Penguin Books, 1994, ©1993. Softbound.",H11
1183,". Letters to Allen Ginsberg, 19531957.  A. [Preface by Burroughs.] Script corrected by James Grauerholz. 1st ed. Geneva: Editions Claude Givaudan, 1978. Hardbound.  Includes tipped-in frontispiece B&W photograph of Burroughs.  numbered copies and a bilingual French-English edition of 100 numbered copies, signed by the author, and 400 numbered copieColophon.  ... [Miles]  B. Letters to Allen Ginsberg = Lettres à Allen Ginsberg, 19531957. Script corrected by James Grauerholz. English and French text on facing pages. Translated into French by Jean Chopin. Geneva: Editions Claude Givaudan/Am Here Books, 1978. Hardbound, in clear mylar dustjacket.   Limited to 500 numbered copies, including 100 signed by Burroughs, in addition to six hors commerce copies numbered HC I-VI [?].   145  C. Letters to Allen Ginsberg, 19531957. [Preface by Burroughs. Introduction and footnotes by Allen Ginsberg. 1st American ed.] New York: Full Court Press, 1982. Hardbound in dustjacket, and softbound.  om Editions Claude Givaudan/Am Here Books, Geneva, T.p. verso.  Includes 100 numbered and 12 lettered hors commerce copies signed by Burroughs and Ginsberg. 1. [Press Release]printed on one side only.",H12
1184,".  with William Weiss. (Beat Scene Press Pocket Book Series; No. 40) Coventry, England: The Beat Scene Press, 2013. Softbound (no hardbound issued).  nd on April 12, 1984 and was first published by The Cleveland Edition. More   Limited to 125 numbered copies.",H13
1185,". Rub Out the Words: The Letters of William S. Burroughs, 19591974. Edited and with an introduction by Bill Morgan. 1st ed. New York: Ecco, 2012. Hardbound in dustjacket.",H14
