description,work
"Peinture, Poésie, Musique: David Budd Recontree William Burroughs et Earl Brown Chez Rodolphe Stadler. Paris: Galerie Stadler, 1964. Single sheet, folded to make 12 panels (6 on each side).  {M&M F11}  -column piece by Burroughs printed alternately in red and orange ink occupies half of the catalogue,  39]   1 9 7 4",B1
"Ruby Editions Portfolio, One. With Cozette de Charmoy and Henri Chopin. Designed by Henri Chopin. London: Wallrich Books, 1974. 3 sheets and vellum title page in printed cardstock folder.  cover title: Ruby Editions Portfolio 1.  Portfolio containing three prints, one each by Burroughs, de Charmoy, and Chopin.     1 9 8 8",B2
"William Burroughs: Painting. Amsterdam: Suzanne Biederberg Gallery; London: October Gallery, [1988]. Softbound (no hardbound issued)  Catalogue accompanying one-man exhibition at Suzanne Biederberg Gallery in Amsterdam and  October Gallery in London.",B3
"William S. Burroughs. Santa Fe, N.M.: Gallery Casa Sin Nombre, 1988. Softbound (no hardbound issued).  Catalogue accompanying one-man exhibition at Gallery Casa Sin Nombre in Santa Fe, [April-May 1988?]",B4
"William S. Burroughs. London: The October Gallery, 1988. A. Single sheet of cardstock, folded to make 8 panels (4 on each side).   Brochure accompanying one- 1 June2nd      Includes reproductions of three paintings by Burroughs: Through a Fish Eye, Burn Unit, and Fear Death by Water. B. [Press Release for and list of works from exhibition]  y James Grauerholz and photocopy of 1988 British newspaper article about Burroughs. C. [Promotional Postcard]. London: The October Gallery, 1988. 6 x   B&W photograph of Burroughs by John Minihan on recto.     25",B5
"William S. Burroughs. New York: Tony Shafrazi Gallery, 1988.  A. Single sheet of cardstock, folded to make 10 panels (5 on each side).   Brochure accompanying one-man exhibition at Shafrazi Gallery in New York, 19 December 1987  24 January 1988, organized by Diego Cortez.     Includes reproductions of four paintings by Burroughs: Sore Shoulder, The Red Skull, Mr. Bradley Mr. Martin, and People of the Lie/The Lie Decade. B. [Promotional Poster]. [New York: Tony Shafrazi Gallery, 1988.]  x 17½ in. poster.  Poster advertising one-man exhibition at Shafrazi Gallery in New York, 19 December 1987 24 January 1988.",B6
"William S. Burroughs, October 21November 26, 1988. Chicago: Klein Gallery, 1988.  Postcard [8½ x 5½ in.].  Postcard for one-man exhibition at Klein Gallery in Chicago, 21 October26 November 1988.  Reproduction of Burroughs painting Fluck You! Fluck You! on recto.",B7
"William S. Burroughs: Recent Paintings. Vancouver: Front Gallery, 1988.  in.]  Postcard for exhibition at Front Gallery in Vancouver, 515 July 1988.  Reproduction of Burroughs painting Shark Spirit II on recto.  1 9 8 9",B8
"Clignett/Burroughs. Basel: Carzaniga + Ueker, 1989. Single sheet, folded to make 8 panels  (4 on each side).  Brochure accompanying exhibition of works by Burroughs and Robine Clignett at Galerie Carzaniga + Ueker in Basel, 27 April-20 May 1989.  Includes a biographical statement about Burroughs written, in German, by Udo Breger, and a reproduction of the Burroughs painting Fuck Door.",B9
"William S. Burroughs. Introduction by Achille Bonito Oliva. Rome: Cleto Polcina Artemoderna, 1989. Softbound.  Catalogue accompanying one-man exhibition at Cleto Polcina Artemoderna in Romew, [1989].   , in Italian and English.  Limited to 1,500 copies.",B10
