description,work
"The John Burroughs Review, Vol. 15, Nos. 1-2 (February 1938).  [p. 1]  REVIEWyou back to p. 4.    p. 45.  1 9 5 7",C1
"The Black Mountain Review, [No.] 7 (Autumn 1957). {M&M C2}  Naked Lunch  Published under the pseudonym William Lee.  Actually published Spring, 1958. [BeatBooks 59]",C2
"The British Journal of Addiction, Vol. 53, No. 2 (January 1957). {M&M C1}  -    rd,     1 9 5 8",C3
"Chicago Review, Vol. 12, No. 1 (Spring 1958). {M&M C4}  [Chapter 1 of] Naked Lunch",C4
"Chicago Review, Vol. 12, No. 3 (Autumn 1958). {M&M C5}  ter 2 of Naked Lunch",C5
"Yugen, [No.] 3 (1958). {M&M C3}   [sic; i.e., Pantopon]   An excerpt from Naked Lunch.  1 9 5 9",C6
"Big Table, No. 1 (Spring 1959). {M&M C6}  coverChicago Review  by Paul Bowles.  Naked Lunch  -in-[p. 2]  Chicago Review above.",C7
"Big Table, No. 2 (Summer 1959). {M&M C7}     by Paul Bowles.   30",C8
"Jabberwock, [No. 1] (1959). {M&M C9}    Excerpt from Naked Lunch.",C9
", Vol. 1, No. 1 (June 1959).    TOC: Junkie.  Published under the pseudonym William Lee.  onus: Junkiep. 23.",C10
"New Departures, No. 1 (Summer 1959). {M&M C8}      TOC title  Excerpts from Naked Lunch.",C11
"Semina, No. 4 (1959). {M&M C11}  ...   [Have You Seen] Pantapon [sic; i.e., Pantopon] Rose [?].  An excerpt from Naked Lunch.  1 9 6 0",C12
"Between Worlds, Vol. 1, No. 1 (Summer 1960). {M&M C17}",C13
"Big Table, Vol. 1, No. 4 (Spring 1960). {M&M C16}  Is   Back Seat of Dreaming is part of my current novel [i.e., Naked Lunch]p. 13.",C14
"Evergreen Review, Vol. 4, No. 11 (JanuaryFebruary 1960). {M&M C12 & C14}    eak Précis of the Article Made In Its Image W",C15
"Haute Société, No. 1 (June 1960). {M&M C18}  : Hassan Sabbah =  vrai  English and French in parallel columns.",C16
"Kulchur, [No. 1] (Spring 1960). {M&M C19}    e original manuscript of Naked Lunch. It was not available and does not appear in the otherwise complete edition of Naked Lunchp. 5.",C17
"Mademoiselle, Vol. 50, No. 3 (January 1960). {M&M C15}    ium by William Seward Burroughs, Allen Ginsberg, Lorraine Hansberry, Christopher Logue, TOC.  31",C18
"Nomad, [No.] 5/6 (WinterSpring 1960). {M&M C10}  Life Magazineeiles, and Gregory Corso).",C19
"La Nouvelle Revue Française, No. 85 (1 January 1960). {M&M C13}  émoignage a M  French translation by Eric Kahane",C20
"Sidewalk, Vol. 1, No. 2 (1960?). {M&M C20}    1 9 6 1",C21
"Evergreen Review, Vol. 5, No. 16 (JanuaryFebruary 1961). {M&M C24}  Naked Lunch",C22
"Evergreen Review, Vol. 5, No. 20 (SeptemberOctober 1961). {M&M C30}  The Night Before Thinking.  C included in the same issue.",C23
"The Floating Bear, No. 5 (1961). {M&M C31 & C32}     [Letter:] Dear Allen: There is no thing to fear. Vaya adalante. Look. Listen .../  Letter dated 21 June 1960.",C24
"The Floating Bear, No. 9 (1961). {M&M C33}",C25
"International Literary Annual, No. 3 (1961). Hardbound in dustjacket.  .   [i.e., The Soft Machine]",C26
"Journal for the Protection of All Beings, No. 1 (1961). {M&M E1}  Gregory Corso and Allen Ginsberg).",C27
"Kulchur, [No.] 3 (1961). {M&M C36}     32",C28
"Locus Solus, [No.] 2 (Summer 1961). {M&M C26 & C27}  cover  ... [p. 2]  erywhere March Your Head.    TOC title  Both are cut-a  Minutes To Go p. 204. [See Section A, above]",C29
"Metronome, Vol. 78, No. 5 (May 1961). {M&M C25}   The Soft Machine  sicp. 2.",C30
"Metronome, Vol. 78, No. 8 (August 1961). {M&M C29}    TOC:",C31
"Olympia, No. 1 (December 1961, ©January 1962). {M&M C37}   The Soft Machine",C32
"The Outsider, Vol. 1, No. 1 (Fall 1961). {M&M C35}    [p. 75]  Facsimile of three-column-layout typescript, with a photograph of Burroughs by Brion Gysin.",C33
"Rhinozeros, No. 5 (1961). {M&M C38}    German translation by Anselm Hollo. German and English on opposite pages.  A hand-lettered version of the penultimate paragraph in the American edition of The Soft Machine.",C34
"Swank, Vol. 8, No. 3 (July 1961). {M&M C34}     ... a first draft of a section of the book [Naked Lunch] ... contains material that has never been published  [p. 51]  Naked Lunch-Chicago Review",C35
"Two Cities, No. 6 (Summer 1961). {M&M C28}    1 9 6 2",C36
"BLM: Bonniers Litterära Magasin, No. 6 (JulyAugust 1962).  sic; i.e. Nova] Express: Inledning till The Naked Lunch, The Soft Machine, Novia  [sic; i.e. Nova] Express  Novia [sic; i.e. Nova] Express  Swedish translation by Lars Wilson.   33",C37
"Evergreen Review, Vol. 6, No. 22 (JanuaryFebruary 1962). {M&M C39}  ibal Feast: [Review of] Naked Lunch   Naked Lunch, The Soft Machine, Novia [sic; i.e. Nova] Express  Novia [sic; i.e. Nova] Express      Photo Falling",C38
"Evergreen Review, Vol. 6, No. 25 (JulyAugust 1962). {M&M C44}     Novia [sic; i.e. Nova] Express, from which the following section is taken.p. 73.",C39
