,description,work
931,"ansas: Fresh   Limited edition of 2,000 copies issued with Talk, Talk, Vol. 3, No. 6 (September 1981) [Section C above].  sicThe Place of Dead Roads The Nova Expressp. 21, Talk, Talk (September 1981).",E1
932,". [, England: Unicorn Books, 1971.] (UB LP 1) {M&M G6}  Issued with some copies of limited edition of 99 copies of Alis Smile (Brighton, England: Unicorn Books, 1971) [see Section A above]. LabelsA side, white; B side, one whiteare blank.",E2
933,". The Best of William Burroughs from Giorno Poetry Systems. New York: Giorno Poetry Systems Institute; manufactured and marketed by Mercury Records, 1998 (314-536-703-2). Four compact discs in box, with book.  [From] Naked Lunch:   (Entermedia Theater, New York, 1-2 December 1978; from The Nova Convention [below])   (University of Chicago, 9 March 1975)   (Kean College, New Jersey, 4 April 1980)   (from William S. Burroughs/John Giorno [below])    rom Big Ego [below])    (from William S. Burroughs/John Giorno [below])     (WBAI, New York, 5 March 1975; from William S. Burroughs/John Giorno [below])    (WBAI, New York, 5 March 1975; from William S. Burroughs/John Giorno [below])  1. [Promotional Poster]. New York: Giorno Poetry Institute, 1998. Poster.",E3
934,". r. [New York?]: Mouth Almighty/Mercury Records, 1998. Cassette tape.      Does not contain the same selections as those on Selections from The Best of William Burroughs from Giorno Poetry Systems [below].  [From Naked Lunch  Big Ego [below])   108",E4
935,". Break Through in Grey Room. Selections assembled and produced by Bill Rich. Concept and design by Guy Marc Hinant & Frédéric Walheer.  -composition of sound material recorded by William Burroughs himself. A work of sounds experimentationcuts into the recorded voice or any other sound sourceexplorations wholly contemporaneous with the literary cut up that emerged in Soft Machine, Nova Express, and The Ticket That ExplodedSRV08. A. (Documents) Brussels: Sub Rosa; distribution, P.I.A.S., [1986] (Sub 33005-with illustrated inner sleeve.  Jacket notes by James Grauerholz ([1986]). B. (Aural Documents) Brussels: Sub Rosa, 1994 (Sub CD006-8). Compact disc.  Jacket notes by James Grauerholz ([1986]). C. Jacket.  Jacket notes by James Grauerholz (1986) and Guy Marc Hinant (2001).",E5
936,". Call Me Burroughs.  Burroughs reads from The Naked Lunch and Nova Express; recorded in Paris and engineered by Ian Sommerville. A.   Jacket notes in English by Emmett Williams and in French by Jean-Jacques Lebel.   pts from The Naked Lunch  Nova Express B. New York: ESP-Disk, [1966?] (ESP- with inserted reproduction  (24 x 58 mm, folded once) of The Garden of Delights by Hieronymus Bosch. {M&M G1b}  Jacket notes in English by Emmett Williams and in French by Jean-Jacques Lebel.   Naked Lunch  Nova Express C. (e.m.e.; 6) Göttingen: Expanded Media Editions, [197x?]. C-60 cassette tape. {M&M G1c}    Generic AGFA C-60 cassette with hand-lettered labels. D. [Los Angeles]: Rhino Records, 1995. Compact disc (R2-71848); cassette tape in cardboard box (R4-71848).  CD insertincluded with cassette tape as wellincludes original program notes in English by Emmett Williams and in French by Jean-Jacques Lebel, and new introductory essay by Barry Miles.   [Excerpts from The Naked Lunch:]            [Excerpts from Nova Express:]         109",E6
937,". Dead City Radio. Produced by Hal Willner and Nelson Lyon. Associate Producer, James Grauerholz. Executive Producer, Les Michaels. New York: Island Records, 1990 (422-846-264-1, 422-846-264-2, 422-846-264-4; cassette tape.  Naked Lunch  1. [Press Kit]. New York: Island Records, [1990?].  -x-10-inch black-and-white photograph by Nelson Lyon of Burroughs holding a handgun while standing in front of targets at a shooting range.",E7
938,". The Doctor Is on the Market. Album coordination by James Grauerholz and James Neiss.  Jacket verso (IM 003). A. [Edinburgh]: Les Temps Modernes, 1986 (LTM V:XX). 1  [From Naked Lunch]: sic B. [N.p.]: Interior Music; marketed and distributed by Play It Again Sam Records, 1987 (IM 003).     [From Naked Lunch]: sic",E8
939,". Drugstore Cowboy. With Matt Dillon and Kelly Lynch. Executive Producer, Cory Brokaw. Producer, Peter Gordon. New York: Thirsty Ear, [n.d.] (DC-1). One-  involvement in the film.Record label (A-side).",E9
940,". The Elvis of Letters. With Gus Van Sant, music. Produced by Tim Kerr. Portland, Ore.:   (9112001); compact disc (91CD001).",E10
941,".  Excerpts from Naked Lunch & Nova Express. [Germany]: S Press, [1970?]  (S Press Tapes; 31). Cassette tape.",E11
942,".  The Instrument of Control: William S. Burroughs in Conversation and Readings. Florence: Archivio Letterario, 2006 (0604WB). Compact disc.",E12
943,". Junky. Read by William S. Burroughs; produced by James Grauerholz. Original music by Carter Burwell. New York: Penguin Audiobooks, ©1996. Two cassette tapes in cardboard box;  three compact discs.",E13
944,"-I- Santa Barbara, Calif.: Am Here Books, 1981.    Issued with limited ed. of 500 copies of Catalogue, No. 5, from Am Here Books, and also issued separately.",E14
945,". Live at the Kabuki. Mill Valley, Calif.: Sound Photosynthesis, 1983 (D41-83). Compact disc.",E15
946,"The Hipster Be- With Gus Van Sant, music. [N.p.]: Singles Only Label; manufactured and distributed by Dutch East India Trading, 1990 (SOL 910-7). black, red, [blue?], and clear vinyl.  The Elvis of LettersRecord label.   110",E16
947,". Naked Lunch. A. . Read by William S. Burroughs; produced by Hal Willner and James Grauerholz; abridged by Nelson Lyon. Original Score by Bill Frisell, Wayne Horvitz, and Eyvind Kang. Los Angeles: Warner Audio Video Entertainment, 1995. Two cassette tapes in cardboard box  (4-52206); three compact discs (2-52206). B. Naked Lunch: Read by William S. Burroughs. [Los Angeles]: Warner Audio Video Entertainment, 1995 (WVCD01). Compact disc in cardboard sleeve.  -Verso of sleeve. C. Naked Lunch: The Restored Text. Edited by James Grauerholz and Barry Miles. Read by Mark Bramhall. [Ashland, Oregon]: Blackstone Audio, 2009 (Z4954). Nine compact discs in two cardboard sleeves, inside a cardboard box.",E17
948,". Nothing Here Now But the Recordings: From the Archive[s] of William S. Burroughs. Project coordination: James Grauerholz, Peter Christopherson, and Genesis P-Orridge. Engineer, James Grauerholz. Co-producers, James Grauerholz and Peter Christopherson.  [London?]: Industrial   Jacket notes by Genesis P-Orridge.",E18
949,"Nova Express (1964): (Excerpts) [New York, 1967] (A-1801-B). 8 {M&M C177}  Included in Aspen, Nos. 5 & 6 (Fall/Winter 1967). [Section C, above]  Contained in a box, among 28 sections of folded sheets and records ... a recording on 7-inch flexible disc taken from the Call Me Burroughs album [see above] ... Two tracks comprising the whole of one side running at 33 rpm.[M&M]   Jealousy by Alain Robbe-Grillet.",E19
950,". Oddities. [N.p., n.d.] Compact disc.  sic] than 200 of these were made for collectors only. This  CD-R is of rare material that will never be officially pressed by any record label and is ONLY available in this Insert.  Compiles various Burroughs recordings, most of which have been released previously..",E20
951,". Place of the [sic] Dead Roads. New York: A Moveable Feast, [19--?] (AMF 5). Cassette tape.   Burroughs talks about his life and work, and reads excerpts from The Place of Dead Roads.  Host: Tom Vitale.",E21
952,". . With Kurt Cobain. Portland, Ore.: Tim/Kerr Records, 1992 -sided EP record (with facsimiles of -sided EP picture disk record (limited to 5,000 numbered copies with facsimiles of tures etched on one side); compact disc. 1. [Promotional Poster]. Portland, OR: Tim/Kerr Records, [1992].",E22
953,". Real English Tea Made Here. Curated by Colin Fallows and Barry Miles. Introduction by  [Liverpool]: Audio Research Editions, 2007 (ARECD 301). Three compact discs in illustrated sleeves, accompanied by booklet, all housed in illustrated slipcase.  ... an anthology of the cut-up tapes of William S. Burroughs ... , recorded in 1964 and 1965 in London, New York, and Tangier.Verso of slipcase.  111",E23
954,". Selections from The Best of William Burroughs from Giorno Poetry Systems. New York: Giorno Poetry Systems Institute; manufactured and marketed by Mercury Records, 1998  (314-538-039-2). Compact disc.  Does not contain the same selections as those on  [above].  Naked Lunch",E24
955,". Spare Ass Annie and Other Tales. Music constructed by the Disposable Heroes of Hiphoprisy and Hal Willner. Produced by Hal Willner, Michael Franti, and Rono Tse. Associate Producers, James Grauerholz and Susan Jacobs. Burroughs spoken segments produced by Nelson Lyon and Hal Willner.  [From Naked Lunch A. New York: Island Red Label; distributed by I.L.S., 1993. Compact disc (162-535-003-2); cassette tape (162-555-003-4ADV).   1. [Press Kit]. New York: Island Records, [1993].  -x-10-inch black and white photographs by Kate Simon and Nelson Lyon respectively: one of Burroughs and one of Burroughs with Rono Tse and Michael Franti (Disposable Heroes of Hiphoprisy). 2. [Promotional Postcard]. New York: Island Records, [1993?]. Illustrated postcard. 3. [Promotional Poster]. [New York]: Island Red Label, [1993?] 18 x 12 in. B.  (BRLP 600); cassette tape (BRCA 600).",E25
956,". Spare Ass Annie and Other Tales: The Operators Manual. New York: Island Red Label, 1993 (PRCD 5003-2). Compact disc.  lner, and Michael Franti talk about the making of Spare Ass Annie and Other Tales Front Jacket.",E26
957,". The Spoken Word: William S. Burroughs and Brion Gysin. London: The British Library, 2012 (NSACD 111). Compact disc, with booklet.  including a major first publication of his reading in Liverpool in 1982. The Gysin recordings encompass the full range of his sonic experimentation, and include recitations of many of his soundworks and permutated poems [p. 5] of Booklet.  [excerpt]  [Reading at the Centre Hotel, Liverpool, 5 October 1982]  The Place of Dead Roads and Nova Express[p. 6] of Booklet.",E27
958,". Three Allusive Tracks from Break Through in Grey Room. [Brussels]: Sub Rosa, [2009]  record.    Limited to 300 numbered copies.         112",E28
959,". Uncommon Quotes. Produced by Kathelin Hoffman. Fort Worth, Tex.: Caravan of Dreams Productions, 1988 (CDPT 8501-1; Dreams 011; compact disc, with insert.",E29
960,". Vaudeville Voices. England: Grey Matter, [1993] (GM02CD). Compact disc.  -8 ... [originally] released as Call Me Burroughs [above] ... in October 1965. Track 9 ... [originally] released in October 1971 on a one-sided LP with accompanying book [] ...",E30
961,". Western Lands. With host Tom Vitale. [New York?]: A Moveable Feast, [19--?] (A Moveable Feast 86, 87) Two cassette tapes.  Western Lands and talks about his literary history   Western Lands and talks about cut-ups, Egyptian myth, and",E31
962,". The Wild Boys. Narrated by Luis Moreno. Leicester, England: Whole Story Audiobooks, 2013 (RTL 2821). Five compact discs in plastic box.",E32
963,". William S. Burroughs in Dub. Conducted by Dub Spencer & Trance Hill.  A. Hamburg: Echo Beach, [2014] (EB 100). Compact disc.  Limited to 999 hand-numbered copies.  Includes 15 tracks. B.   Limited to 500 numbered copies.  Includes tracks 1, 2, 8, 9 (A side) and 6, 13, 15, 11 (B Side) of the 15 tracks on the CD (above).",E33
964,". William S. Burroughs/John Giorno. Mechanical production, Catherine Levine. New York: Giorno Poetry Systems, 1975 (GPS 006Jacket.  rom The Wild Boys   (Pauley Ballroom, University of California, [Berkeley], 7 November 1974)   (  Ah Pook Is Here (Columbia University, New York, 17 April 1975)  Cities of the Red Night (Columbia University, New York, 17 April 1975)  Junkierd  (WBAI, New York, 5 March 1975)  Naked Lunch (WBAI, New York, 5 March 1975)  Exterminator (Pauley Ballroom, University of California, [Berkeley], 7 November 1974)   113",E34
965,"Music constructed by the Disposable Heroes of Hiphoprisy, H. Willner, and C. Hunter. Produced by H. Willner, Michael Franti, and Rono Tse. Vocal Production, Nelson Lyon and H. Willner. Remixed and reconstructed by Bill Laswell. New York: Island Red Label, 1993 (162-535-501-",E35
966,". Youre the Guy I Want to Share My Money With. With Laurie Anderson and John Giorno.   Ah Pook Is Here          The Place of Dead Roads            Nova Express  Cities of the Red Night   16 May; and Toronto, 31 May 1981. A. New York: Giorno Poetry Systems, 1981 (GPS 020Jacket. B. New York: Giorno Poetry Systems; manufactured and distributed by Rough Trade, 1981  (GPS 42-4). Cassette tape.",E36
967,". Zero Time to the Sick Tracks. [N.p., n.d.] (WSB 001). Cassette tape.",E37
968,"The Dial-a-Poem Poets. Better an Old Demon Than a New God. With David Johansen et al. New York:    (San Francisco, 20 March 1984)",E38
969,". Big Ego. With Patti Smith et al. New York: Giorno Poetry Systems, 1978 (GPS 012013). Jacket.  Naked Lunch (St. Marks Church, New York; 9 April 1977)",E39
970,". Biting Off the Tongue of a Corpse. With Gary Snyder et al. New York: Giorno Poetry Systems,   The Wild Boys: A Top-Level Conference Is in Progress (St. Marks Church, New York; 24 April 1974)   114",E40
971,". The Dial-a-Poem Poets. With Allen Ginsberg et al. New York: Giorno Poetry Systems, 1972 (GPS 001 [sic]Jacket.  The Wild Boys  (Duke Street, London; 19 November 1971)",E41
972,". A Diamond Hidden in the Mouth of a Corpse. With Hüsker Dü et al. New York: Giorno Poetry Jacket, with illustrated inner sleeve.  The Western Land [sic, i.e. Lands]:         (Naropa Institute, Boulder, Colo.; 28 July 1985)",E42
973,". Disconnected. With Allen Ginsberg et al. New York: Giorno Poetry Systems, 1974  (GPS 003[004]Jacket.    Exterminator (recorde",E43
974,". Life Is a Killer. With John Giorno et al. New York: Giorno Poetry Systems, 1982 (GPS 027).    (Market Street Cinema, San Francisco; 17 September 1981)",E44
975,". Sugar, Alcohol, & Meat. New York: Giorno Poetry Systems, 1980 (GPS 018019).  Jacket.  Nova Express: I Was Travelling with The Intolerable Kid on The Nova Lark (Mudd Club, 4 April 1979)   (Jack Kerouac School for Disembodied Poetics, Naropa Institute, 15 August 1979).",E45
976,". Totally Corrupt. With Charles Bukowski et al. New York: Giorno Poetry Systems, 1976  (GPS 008Jacket.  to Be  (St. Marks Church, New York; 29 October 1975)",E46
977,". -Year Anniversary of Dial-A-Poem (19681983). With John Giorno et al.   m The Place of Dead Roads  (Kabuki Theatre, San Francisco; 25 February 1983)",E47
978,"DJ Spooky, That Subliminal Kid. Rhythm Science: Excerpts and Allegories from the Sub Rosa Audio Archive. Brussels: Sub Rosa, 2003 (SR 201). Compact disc in double-gatefold digipack.     115",E48
979,"Gysin, Brion. Orgy Boys. West Park, N.Y.: Hat Hut Records, 1982 (hat MUSICS 3504).   Jacket.  Naked Lunch Lyrics: 1. The Fear 2. Naked Lunch 3. Dead Weight 1 4. Dead Weight 2 5. The Needle 6.   Naked Lunch",E49
980,"Hall, Glen. Hallucinations: Words and Music for William S. Burroughs. [Newton Abbot: England]:  Leo Records, 1999 (LR273). Compact disc.  inspired by two novels by William S. Burroughs,.Nova Express and The Wild Boys",E50
981,"Hedayat, Dashiell. Obsolete.   A. [Saint-Paul de Vence, France]: Shandar Records, [1971] (SR10.009).  LP record (blue label, with vertical logo).  B. [Saint-Paul de Vence, France]: Shandar Records, [1971] (83512).   C. [Saint-Paul de Vence, France]: Shandar Records, [1971] (83512).   LP record (orange label, with disc logo).",E51
982,"Lang, Bernhard. Das Theater der Wiederholungen: Musiktheater in drei Erzählungen. [N.p.]: Kairos, 2006 (0012532KAI). Two compact discs, with booklet.   The Place of Dead Roads.",E52
983,"Manapsara. Queer: A Soundtrack to the Novel by William S. Burroughs. Brussels: Sub Rosa,  1988 [?] (Sub 33017-",E53
984,[1988?] (Sub 12006-  ... are further developments of original versions found on Queer: A Soundtrack to the Novel by William S. Burroughs ...Jacket verso.,E54
985,alif.  From the LP Seven Souls [see below] voice and incorporates excerpts from The Western Lands.,E55
986,". Hallucination Engine. New York: Axiom; distributed by Island Records, 1994  (314-518 351-2). Compact disc.  Lyrics and vocals by Burroughs on",E56
987,". The Road to the Western Lands. New York: Triloka Records, 1998; manufactured and marketed by Mercury Records (314-558 021-  ... a collection of radical mix translations Seven Souls.  This work revolves around the words and voice of the late William S. Burroughs ...Verso of LP jacket. 1. [Promotional Poster]. [New York]: Triloka Records, 1998].  116",E57
