,description,work
1046,"Buried Treasure, Volume 1: The Directors. Produced by Abe Torres. Los Angeles: Island Visual Arts, 1991 (440-083-053-3). Videocassette.   Cover.  William Burroughs. Directed by Gus van Sant.",F1
1047,"Burroughs: The Movie. Directed by Howard Brookner. Produced by Howard Brookner and Alan Yentob.   Originally released as a motion picture in 1983 by Citifilmworks, DPI, and Pinball London. 1. [Press Kit]. [N.p.]: Citifilmworks, 1984.  Folder of photocopied material, including: a compilation of reviews of the fof events; and complete credits for and a synopsis of the film. 2. [Promotional Postcard]. New York: Anthology Film Archives, [n.d.]   3. [Promotional Poster]. [N.p., 1984?] 36 x 24 in. A. (Giorno Video Pak [sic]; 2) New York: Giorno Poetry Systems Institute, 1985 (GPS 034). Videocassette.",F2
1048,"Chappaqua. Written, directed, and produced by Conrad Rooks. Music by Ravi Shankar and The Fugs. [New York]: Fox Lorber Home Video, 1999 (FLV 5106). Digital video disc.  Originally released as a motion picture in 1966 by Minotaur and distributed in 1967 by Universal Pictures.",F3
1049,"Decoder. Written by Klaus Maeck. Directed by Muscha. Music by Dave Ball, F.M. Einheit,  Genesis P-Orridge, John Caffery, Alexander Von Borsig, and Soft Cell.     Originally released as a motion picture in 1984 by Fett Film. A. St. Annes, England: Jettisoundz Video, [1991?] (MJ 005). Videocassette with accompanying photocopied booklet [as issued]. B. [N.p.]: Transparency, [2010?] (0373). Digital video disc and compact disc.  Extras:  Original trailer.  46-minute interview with Klaus Maeck.  Excerpts from Pirate Tape, Derek Jarman filming Burroughs on set.    Slide show of 75 production stills.",F4
1050,"Destroy All Rational Thought. A. : Celebrating William Burroughs and Brion Gysin in Dublin. Lytham St. Annes, England: Visionary Communications, [1992] (MJ016). Videocassette.  ...  B. : William Burroughs and Brion Gysin in Ireland. Directed by Joe Ambrose and Frank Rynne. Chicago: Atavistic, 1998 (ATV 27). Videocassette.  , [and] previously unseen 60s   125",F5
1051,"Drugstore Cowboy. Written by Gus Van Sant and Dan Yost. Directed by Gus Van Sant. Produced  by Nick Wechsler and Karen Murphy. Santa Monica: Artisan Home Entertainment, 1999 (60497). Digital video disc.  Originally released as a motion picture in 1989 by Avenue Entertainment.",F6
1052,"The Final Academy Documents.   Towers Open Fire and Ghosts at No. 9 [re-edited by Genesis P-  SThe Final Academy: Statements of a Kind, Section G below.  A. [London?]: Ikon/FCL, [1984] (Ikon 9). Two videocassettes in embossed slipcase. B. London: Cherry Red Records, 2002 (CRDVD 13). Digital video disc.",F7
1053,"FLicKeR. Written and directed by Nik Sheehan. Produced by Maureen Judge and Anita Lee. New York: Alive Mind; manufactured and distributed by Lorber HT Digital, 2008 (ALV-DV-29). Digital video disc.    ok Chapel of Extreme Experience: A Short History of Flicker     William Burroughs, Iggy Pop, Marianne Faithful, and other counter-",F8
1054,"Gang of Souls. Producer and director, Maria Beatty. Music, Bruce O. Bernardo II. (Giorno Video Pak [sic]; 4) New York: Giorno Poetry Systems, 1990. Videocassette  ommunity Television Center, New York, 1988.",F9
1055,"Ghosts at No. 9, plus Towers Open Fire. Lawrence, Kansas: Fresh Video, [198x?] Videocassette.",F10
1056,"Giorno Video Pak [sic]. With Lenny Kaye and John Giorno. New York: Giorno Poetry Systems, 1984 (GPS 031). Videocassette.    Naked Lunch Burroughs by Howard Simon Fraser University Library catalog.",F11
1057,"Island [Video Sampler]. With Dino et al. New York: Island Records, 1989. Videocassette.  Thanksgiving Prayer",F12
1058,". [Story and narration by William S. Burroughs.] Directed by Nick Donkin. Produced by Francine McDougall. Music by Hal Willner and The Disposable Heroes of Hiphoprisy.  Originally released as a motion picture in 1993 by Palomar Pictures. A. Los Angeles: Palomar Pictures, 1993. Videocassette.  Promotional.     B. Port Washington, NY: Koch Entertainment LP, 2006. Digital video disc.    Ironbound and Travelling Light  126",F13
1059,"Naked Lunch. Written and directed by David Cronenberg. Produced by Jeremy Thomas. Music by Howard Shore and Ornette Coleman.  Originally released as a motion picture in 1991 by the Recorded Picture Company and Téléfilm Canada. 1. [Press Kit]. Beverly Hills, Calif.: Twentieth-Century Fox, 1991.  Folder containing long (42 pp.) and short (2 pp.) promotional descriptions of the film, complete credits (8 pp.), -C-1--(NL 1-4, 7-8) in a brown paper bag, and a complete set of stills (NL 1-8, plus three additional unnumbered stills and one head shot (Nicholar Campbell)).  2. [Prospectus].  London: First Independent Films, 1991. Softbound A. [N.p.]: Twentieth Century Fox Film Corporation, 1992, ©1991. (FoxVideo; No. 5614) Videocassette. B. A Taste of Naked Lunch. [N.p.]: Twentieth Century Fox Film Corporation, 1992. (FoxVideo; No. 9395) Videocassette.  Promotional.  Naked Lunch   troduction to Naked Lunch to see exciting highlights and behind-the- C. Naked Lunch. (The Criterion Collection; 220) [N.p.]: The Criterion Collection, 2003. Two digital video discs with accompanying booklet.  erg and Naked Lunchintroduction to Everything Is Permitted: The Making of Naked Lunch. [See Section G below.]",F14
1060,"On the Road Naked: Inside vhe Mind of William S. Burroughs. A film by Jean Francois Valle. New York: Planet Group Entertainment, 2012. Digital video disc.  Originally produced in 1999.",F15
1061,"Poetry In Motion. A film by Ron Mann. With Amiri Baraka, et al. [Chicago]: Home Vision Entertainment, 2002 (POE 020). Digital video disc.",F16
1062,"Secrets of Sex. Written by John Eliot, Antony Balch et al. Produced and directed by Antony Balch. Music by De Wolfe.   Originally released as a motion picture in 1970 by Noteworthy Films. A. [Romulus, Michigan]: Synapse Films, 2010 (SFD0098). Digital video disc.  Includes The Cut Ups and Towers Open Fire. B. Bizarre. [Romulus, Michigan]: Synapse Films, 2005 (SFD0042). Digital video disc.  Includes The Cut Ups and Towers Open Fire.",F17
1063,"[sic]. With And Why Not, et. al. New York: Island Records, 1990. Videocassette.    Thanksgiving P",F18
1064,"The Source. A film by Chuck Workman. [New York:] Fox Lorber Films, [1999] (FLV 5225). Digital video disc.  with performance sequences starring John Turturro, Dennis Hopper, and Johnny DeppIMDb.   127",F19
