,description,work
1073,"/Marlborough, Mass.: Water Row Books, 1995?] Broadside.  Limited to 100 numbered copies.  Recto: reproduction of letter from John Wilson, American Consul, to Burroughs, conveying reproduction of",G1
1074,"Anderson, Simon, and John McWhinnie. Heretical Visions: Words and Images by Jack Kerouac, William S. Burroughs, Allen Ginsberg, and Brion Gysin. [New York: Glenn Horowitz Bookseller, 2002.] Spiral- bound.  Limited to 1,500 copies.  Bookseller, New York [and] Roth Horowitz Associates/Ferrini & Biondi, Los Angeles ... May 16July 13th, p. 4.",G2
1075,"Ansichten: W. S. Burroughs: The Naked Lunch; René de Obaldia: Der Hunderjährige. [Wiesbaden]: Limes, [1965?]. Softbound.  Compilation [promotional?] of previously published reviews of and commentary on Naked Lunch by various authors including Mary McCarthy, Horst Bienek, Hubert Fichte, Jack Kerouac, and Norman Mailer.",G3
1076,"Bennett, John M., and Geoffrey D. Smith. An American Avant-Garde: First Wave, An Exhibit. With an Introduction by James Grauerholz. Columbus, Ohio: Rare Books and Manuscripts Library, The Ohio State University, 2001. Softbound.  Ohio State University, Columbus, Ohio, May 15, 2001T.p.",G4
1077,"Brite, Poppy Z. R.I.P. Springfield, Pa.: Gauntlet Press, 2000. Staplebound (no hardbound issued).  Limited to 200 numbered copies.  typescript.",G5
1078,"Brown, James. The Moroccan. 1st ed. St. Louis: Lococo Mulder, 1993. Softbound.  Reproductions of  and photographs of Tangier by Jellel Gasteli, accompanied by texts by Paul Bowles, Burroughs, and Allen Ginsberg.",G6
1079,"Brusse, Mark. Reliefs & Machines. Paris: Galerie Ursula Girardon, 1963. Broadside, folded in eighths.  Catalogue accompanying exhibition held 23 October30 November 1963.",G7
1080,"kpots and Visionaries) [N.p., n.d.] Card, 9.5 x 7 cm.",G8
1081,". Silkscreen portrait of Burroughs. [Berkeley, Calif.?]: Ink and Design, [198x?].  Limited to 100 numbered copies signed by Burns.",G9
1082,"coveries and Inventions) [N.p.]: Grolier, 1997. Card, 6.25 x 4.375 inches. 130",G10
1083,"Burroughs, Laura Lee. Flower Arranging: A Fascinating Hobby. Atlanta: Coca-Cola Co.,  19401942. 3 vols. Softbound in illustrated envelopes.    Vol. 3 titled: Homes and Flowers: Refreshing Arrangements.",G11
1084,"...  ... Unpublished manuscript fragment.  cf. A Descriptive Catalogue of the William S. Burroughs Archive, folio No.  cut-out TS pasted on them ...  You will find a circular piece of typescript ... it is a cut up by William Burroughs ... Brion Gysin took a stack of such typescripts and cut them into circles to be used in a divination game that he had devised. The ones actually employed w[ou]ld have ink glyphs and were mounted on card. What I have sent you was not used and dribbled Personal correspondence to author from Richard Aaron.",G12
1085,"Burroughs, William Jr. Esquire, Vol. 76, No. 3, Whole No. 434  (September 1971).",G13
1086,Burroughs Corporation. Advertising Ephemera. A.   B.,G14
1087,"Cadmus Editions. Cadmus Editions, Spring 1981. San Barbara: Cadmus Editions, 1981. Staplebound.  Includes announcement of Early Routines [See Section C above].",G15
1088,"Caravan Of Dreams, 11 September 1986. [See also Section E above.] A. am S. Burroughs at the Caravan of Dreams, Thursday,    Invitation to reading.   B&W cover painting by Brion Gysin.  B. William S. Burroughs, Caravan of Dreams Theater, Sept. 11, 1986. Silkscreen poster.  Limited ed. of 20 numbered copies signed by the artist, Zelmer Phillips.",G16
1089,"Cecil, Paul, ed. A William Burroughs Birthday Book. London: Temple Press, 1994. Softbound  (no hardbound issued).  ... , on 5th February 1994, the occasion of the 80th p. 1.  Produced with two different cover colors: green and pink.",G17
1090,"Chambas, Jean-Paul. Exposition de Dessins à Propos de W. S. Burroughs. Text by Peter Handke translated into French by Georges-Arthur Goldschmidt. Paris: Librairie-Galerie du Rhinocéros, 1975. Softbound.  Catalogue accompanying exhibition held at the Galerie du Rhinocéros in Paris, 19 November31 December 1975.    PO --up -     131",G18
1091,"Charmoy, Cozette de and François Lagarde. Poste Vaticane. Geneva: Les Editions Ottezec; Paris: Les Editions Terra Incognita, 1976. 21 sheets in printed cardstock folder.  Limited to 25 copies numbered IXXV, signed by de Charmoy and Lagarde.  Features photographs of collages that incorporate images of Burroughs and Gysin, as well as Henri Chopin, Bernard Heidsieck, Steve Lacy, Gerard-Georges Lemaire, Philippe Mikriammos, Daniel Odier, , and others. Also included is an original signed collage by de Charmoy of two postage stamps utilizing Burroughs' and Gysin's images undernWe hold these truths ...",G19
1092,"Cinefex, No. 49 (February 1992).    typewriters and all the other strange inhabintants of Naked Lunch. [Section F above]",G20
1093,"Condo, George. Recent Paintings: April 30June 11 1994, The Pace Gallery, 142 Greene Street, New York City. New York: Pace Wildenstein, 1994.  .../",G21
1094,"Ely, Roger, comp. The Final Academy: Statements of a Kind. London: The Final Academy, 1982. Softbound (no hardbound issued).  -p. [2]  Catalogue, designed by Neville Brody, for a series of events celebrating Burroughs that took place in London in 1982.",G22
1095,"Evergreen Review, Vol. 9, No. 36 (June 1965). Softbound (no hardbound issued).   Naked Lunch  Prints excerpts from the Boston obscenity trial, featuring testimony by Norman Mailer and Allen Ginsberg   132",G23
1096,").  Portrait of Burroughs by Fairey, based on a photograph of the author by Kate Simon.      William S. Burroughs in celebration of what would be  https://obeygiant.com/prints/burroughs-100-years/ (accessed 4 January 2016).  Limited to 450 numbered copies, signed by Fairey and Simon.",G24
1097,"Fanatic, No. 2 (Winter 1976).     1.    [BeatBooks 65] 2.  a.   Two previously unpublished letters (dated 13 May and 31 July 1974, respectively) from Sommerville to Susan Janssen. b.    [BeatBooks 65] c.   otography[p. 6] d.    [BeatBooks 65]",G25
1098,"Gatewood, Charles and William S. Burroughs. Sidetripping.   Burroughs text accompanies Gatewood photographs. A. New York: Strawberry Hill, 1975; distributed by Derbibooks. Softbound (no hardbound issued). B. Introduction by Gatewood. San Francisco: Last Gasp, 2001. Hardbound, and softbound.",G26
1099,". The Dream Machine. [New York: Self-Published], 1973.  Limited to 10 copies.  portrait shots of Burroughs and Gysin, and two shots of Burroughs with the Scientology e-meter. The volume also c [Red Snapper]",G27
1100,"Gette, Paul-Armand. . [Paris?, 1970?] Softbound (no hardbound issued).  {M&M F22}  Catalogue accompanying exhibition.  With untitled English texts by Burroughs and Brion Gysin, and untitled French text by Bernard Heidsieck.",G28
1101,"Griffin,S. A., Mike Bruner, Olly Ruff, David Rhaesa, Derek Beaulieu, Marie Countryman, Michael Stutz, and James Stauffer. On the Work of Burroughs: A Tribute to Allen Ginsberg, May 10, 1997, Beyond ing Text) Los Angeles: Rose of Sharon Press, 1997. Staplebound.  iffin, Mike Bruner, Olly Ruff, David Rhaesa, Derek Be[p. 3]  th [p. 2]",G29
1102,"Gysin, Brion. Brion Gysin: The October Gallery, March 12April 4, 1981. London: The October Gallery, 1981. Softbound.  Gysin by Burroughs. 133",G30
1103,". Brion Gysin Let The Mice In. With texts by Burroughs and Ian Sommerville. Edited by Jan Herman. West Glover, Vt.: Something Else Press, 1973. Hardbound in dustcover, and softbound. {M&M A22a-b}  Limited to 1,000 softbound and 500 hardbound copies.  coveries which Gysin made as applied to writing, primarily the early  [ue]",G31
1104,". Here To Go: Planet R-101. Brion Gysin interviewed by Terry Wilson, with introduction and texts by William S. Burroughs and Brion Gysin.  A. San Francisco: Re/Search Publications, 1982. Hardbound, and softbound.   site] B. London: Quartet, 1985. Hardbound in dustjacket. C. Here To Go. Preface and additional text: William S. Burroughs. [London?]: Creation Books, 2001, ©2000. Softbound.",G32
1105,". Permutations. Paris: Galerie Weiller, 1973. One sheet, folded to make 12 panels  (6 on each side). {M&M F30}  Catalogue of an exhibition at Galerie Weiller, 20 MarchPainting of Brion Gysin, an interview between Gysin and Burroughs, in French and English.",G33
1106,"Hamlin, Bradley Mason. Love Virus. (FreeThought Flyer; No. 2) [Encinitas, Calif.]: FreeThought Publications, 2000. Folded broadside in illustrated envelope.  Limited to 150 numbered copies.  Includes thirteen quotes by Burroughs.",G34
1107,"Haring, Keith. Apocalypse. Text by Burroughs.  A. New York: George Mulder Fine Arts, [1988]. Hardbound, and softbound in dustjacket.  Burroughs text accompanies Haring art.  Hardbound edition is l B. Comb-bound photocopied proof (?). C. Paris: Le Dernier Terrain Vague, 1993. Text in English and French. French translation by Thierry Marignac. Softbound.",G35
1108,". The Valley. Text by Burroughs. New York: George Mulder Fine Arts, 1990. Hardbound in clamshell box.  Burroughs text accompanies Haring art.  Limited to 80 numbered and dated copies, 13 numbered Arthors commerce copies, one bon a tirer copy, each with 15 etchings signed by Haring and 1 signed by Burroughs.",G36
