,description,work
1215,"Atticus Books. William S. Burroughs: The Hombre Invisible the ; 8) San Diego, Calif.: Atticus Books, 1981. Softbound  (no hardbound issued).  Includes 50 copies, numbered 150, and 10 hors commerce copies, lettered AJ, signed by Burroughs.",I1
1216,"Cook, Ralph T., comp. William S. Burroughs: A Checklist of Magazine/Periodical Appearances. San Diego: Atticus Books, 1980.  Limited to 35 numbered copies.",I2
1217,"Goodman, Michael B. William S. Burroughs: An Annotated Bibliography of His Works and Criticism. (Garland Reference Library of the Humanities; Vol. 24) New York: Garland, 1975. Hardbound (issued without dustjacket).",I3
1218,"Ken Lopez Bookseller. William S. Burroughs Literary Archive. Hadley, Mass.: Ken Lopez Bookseller, 2005. Softbound (no hardbound issued).  [p.2]",I4
1219,"Maynard, Joe, and Barry Miles, comps. William S. Burroughs: A Bibliography, 195373: Unlocking . 1st ed. (A Linton R. Massey Descriptive Bibliography) Charlottesville, Va.: Published for the Bibliographical Society of the University of Virginia by the University Press of Virginia, 1978. Hardbound (issued without dustjacket).  Includes 50 numbered copies signed by Burroughs.",I5
1220,"Miles Associates, comp. A Descriptive Catalogue of the William S. Burroughs Archive. Compiled by Miles Associates for William Burroughs and Brion Gysin. London: Covent Garden Press; Ollon, Switzerland: Am Here Books, 1973. Hardbound (no softbound issued).  Catalog of material formerly housed in the International Center of Art and Communication in Vaduz, Lichtenstein; Roberto Altmann, Director.   Limited to 226 copies signed by Burroughs, Gysin, and Barry Miles, including 26 lettered copies bound in rected page of original Burroughs typescript.",I6
1221,"Pacific Book Auction Galleries. Sale 198 ... Fine Modern Literature, Including the Nelson Lyon Collection of William S. Burroughs. San Francisco: Pacific Book Auction Galleries, 1999. Softbound  (no hardbound issued).  ... [p.3]",I7
1222,". Sale 233 ... Modern Literature with William S. Burroughs. San Francisco: Pacific Book Auction Galleries, 2001. Softbound (no hardbound issued).   150",I8
1223,"Schottlaender, Brian E. C. Anything But Routine: A Selectively Annotated Bibliography of William S. Burroughs.  A. v. 1.0. University of California eScholarship Repository (2008). Posted at: http://escholarship.org/uc/item/5n73t7nb B. v. 2.0. University of California eScholarship Repository (2010). Posted at: http://escholarship.org/uc/item/8mq028p5 C. v. 3.0. University of California eScholarship Repository (2012). Posted at: http://escholarship.org/uc/item/63k9k1gf",I9
1224,"Schottlaender, Brian E. C., and Raymond Soto, comps. William S. Burroughs & Allen Ginsberg: A Select Bibilography of Works in the UCLA University Library. Los Angeles: University Library, University of California, Los Angeles, 1998. Softbound (no hardbound issued).",I10
1225,"Shoaf, Eric C. Collecting William S. Burroughs in Print: A Checklist. A. 1st ed. Rumford, R.I.: Ratishna Books, 2000. Softbound (two-hole-punched in clasp folder; no hardbound issued).  Limited to 174 numbered copies and 26 lettered and signed copies printed on Permalife bond paper and issued Ginsberg, plus assorted pages from the original Grove Press printing of Naked Lunch[p.71] B. . Providence, R.I.: Inkblot; distributed by Aftermath Books, 2014. Softbound.  pp. 13.",I11
1226,"Sale 7351: Allen Ginsberg and Friends, including Property from the Estates of Allen Ginsberg, Jack Kerouac, and William S. Burroughs.",I12
1227,"Stevens, Michael. A Distant Book Lifted.  A. 1st ed. Spicewood, Tex.: Benjamin Spooner Books, 2001. Hardbound, and staplebound.  Limited to 99 numbered softbound copies, 26 lettered softbound copies signed by the editor [sic], and 5 copies bound by Don Sanders.   Cover. B. Corrected, revised, and updated 2nd ed. Spicewood, Tex.: Suicide Press, 2014. Staplebound.  Limited to 99 numbered staplebound copies and 26 lettered staplebound copies signed by the author and the Cover artist, Peter Maloney.  Blurbs, and other William S. Burroughs T.p.",I13
1228,"Strong, Simon. Even the Old Dude Is Cool: William S. Burroughs on the Wheels of Steel and the Silver Screen. [Australia]: LedaTape Organization, 2013. Softbound.    151  CRITICISM",I14
1229,"estration of Chaos: Verbal Technique in William S. Naked Lunch, University of Minnesota, 1979.",I15
1230,"Bridgett, Rob. The Cinematic Experiments of William Burroughs, Brion Gysin, and Antony Balch. Binley Woods Near Coventry, England: Beat Scene Press, 2003. Staplebound (no hardbound issued).  Limited to 50 copies.",I16
1231,"York at Stony Brook, 1979.",I17
1232,"Davisson, Sven, ed. Playback: The Magic of William S. Burroughs. Hulls Cove, Maine: Rebel Satori Press, 2009. Softbound.  Ashé Journal Back cover.",I18
1233,"Debout-Oleszkiewicz, Simone. . (Critique de la Politique Payot) Paris: Éditions Payot & Rivages, 1998, ©1999. Softbound.",I19
1234,"at the Movies: A Study of The Wild Boys MA thesis, Arizona State Unviersity, 1998.",I20
1235,"Gill, Ranjit Singh. The Fiction of William S. Burroughs: Human Imprisonment and Thought Control. New Delhi: Prestige, 2004. Hardbound in dustjacket.  ... Back jacket flap.",I21
1236,"Goodman, Michael B. Contemporary Literary Censorship: The Case History of Burroughs Naked Lunch. Metuchen, N.J.: Scarecrow Press, 1981. Hardbound (issued without dustjacket).",I22
1237,"Naked Lunch by ork at Stony Brook, 1979.",I23
1238,"Goodman, Michael B., and Lemuel B. Coley. William S. Burroughs: A Reference Guide.  A. (Garland Reference Library of the Humanities; Vol. 635) New York: Garland, 1990. Hardbound. B. Oxford, Eng.: Taylor and Francis, 1990. Hardbound.",I24
1239,"Grunberg, Serge.  (Fiction & Cie, 25) Paris: Seuil, 1979. Softbound.",I25
1240,"MA thesis, Tulane University, 1971.",I26
1241,"Harris, Oliver. PhD diss., Oxford University, 1988.",I27
1242,". William Burroughs and the Secret of Fascination. Carbondale, Ill.: Southern Illinois University Press, 2003. Hardbound in dustjacket.",I28
1243,"Harris, Oliver, and Ian MacFadyen. Naked Lunch @ 50: Anniversary Essays. Carbondale, Illinois: Southern Illinois University Press, 2009. Hardbound in dustjacket, and softbound. 152",I29
1244,he Reader in the,I30
1245,"Kirsch, Hans-Christian. Dies Land ist unser: die Beat-Poeten William S. Burroughs, Allen Ginsburg, Jack Kerouac. Munich: List, 1993. Hardbound.",I31
1246,"Lardas, John. The Bop Apocalypse: The Religious Visions of Kerouac, Ginsberg, and Burroughs. Urbana, Ill.: University of Illinois Press, 2001. Hardbound.",I32
1247,"Lemaire, Gérard-Georges, ed. Le Colloque de Tanger: Textes Provoqués ou Suscités par Gérard-Georges Lemaire a lOccasion de la Venue de William S. Burroughs et de Brion Gysin à Geneve entre le 24 et 28 Septembre, 1975. Paris: Christian Bourgois, 1976.   French text, with a smattering of English.   erviews with him by Lemaire; texts on illustrations, including a 14pp. photo-portfolio by François Lagarde showing participants in the event (Burroughs, Gysin 65]",I33
1248,", ed. Colloque de Tanger, Vol. 2. Paris: Christian Bourgois, 1979. French.",I34
1249,"Long, John. : The Role of Drugs in the Lives and Writings of Kerouac, BurWroughs, and Ginsberg. College Station, Tex.: Virtualbookworm.com, 2005. Softbound (no hardbound issued).",I35
1250,"Loydel, Rupert, ed. My Kind of Angel: I.M. William Burroughs. 1st ed. (A Stride Conversation Piece) Devon, England: Stride Publications, 1998. Softbound (no hardbound issued).",I36
1251,"Lydenberg, Robin. Word Cultures: Radical Theory and Practice in William S. Burroughs Fiction. Urbana, Ill.: University of Illinois Press, 1987. Hardbound in dustjacket.",I37
1252,"Mottram, Eric. William Burroughs: The Algebra of Need.  A. . 1st ed. (Beau Fleuve Series; No. 2) Buffalo, N.Y.: Intrepid Press, 1971. Hardbound in dustjacket, and softbound.  Includes 100 numbered and signed hardbound copies. B. . (Critical Appraisals) London: Marion Boyars, 1977. Hardbound in dustjacket, and softbound.   one to seven ... were originally published ... first, in an early form, as part of ... Intrepid  (No. 14/15, Fall/Winter 1969/70), and later as a book in ... [the] Beau Fleuve series ... Chapters eight to twelve cover ...p. 9. C. LAlgebre du Besoin. Paris: Christian Bourgois Editeur, 1980. Softbound.   French translation by Emilia Smirmopki.",I38
1253,"Mullins, Greg A. Colonial Affairs: Bowles, Burroughs, and Chester Write Tangier. Madison, Wis.: University of Wisconsin Press, 2002. Hardbound, and softbound.",I39
1254,"Murphy, Timothy Sean. Wising Up the Marks: Amodernism in the Work of William S. Burroughs and Gilles Deleuze. PhD diss., UCLA, 1994.  153",I40
1255,". Wising Up the Marks: The Amodern William Burroughs. Berkeley, Calif.: University of California Press, 1997. Hardbound (issued without dustjacket) and softbound.",I41
1256,"Okun, Kirsten. Unbegrenzte MöglichkeitenBrinkmann, Burroughs, Kerouc: Sexualität, Geschlecht, Körper, und Transgression als Subversion dualistischer Denkmuster. Bielefeld, Germany: Aisthesis, 2005. Softbound.",I42
1257,"Ossang, F. J. W.S. Burroughs vs. Formule-Mort. Paris: Jean Michel Place, 2007. Hardbound.",I43
